,text,url,state,state_abbr
120,ga_lower_1992to2000_UPDATED.zip (5.5 MB),https://thearp.org/documents/12733/ga_lower_1992to2000_UPDATED.zip,GA,GA
121,GA_CD_1994.zip (201.8 KB),https://thearp.org/documents/12993/GA_CD_1994.zip,GA,GA
122,Georgia_CD_1996_2000.zip (133.8 KB),https://thearp.org/documents/12854/Georgia_CD_1996_2000.zip,GEORGIA,GA
123,GA_CD_2002_2004.zip (2.9 MB),https://thearp.org/documents/11018/GA_CD_2002_2004.zip,GA,GA
124,GA_Upper_2002.zip (2.7 MB),https://thearp.org/documents/10605/GA_Upper_2002.zip,GA,GA
125,GA_lower_2002.zip (2.2 MB),https://thearp.org/documents/10704/GA_lower_2002.zip,GA,GA
126,GA_upper_2004.zip (1.3 MB),https://thearp.org/documents/10606/GA_upper_2004.zip,GA,GA
127,ga_lower_2004_2010.zip (4.9 MB),https://thearp.org/documents/10703/ga_lower_2004_2010.zip,GA,GA
128,GA_CD_2006_2010.zip (2.9 MB),https://thearp.org/documents/11019/GA_CD_2006_2010.zip,GA,GA
129,ga_upper_2006to2010.zip (2.9 MB),https://thearp.org/documents/10607/ga_upper_2006to2010.zip,GA,GA
130,GA_2012to2020_CD.zip (1.6 MB),https://thearp.org/documents/5038/GA_2012to2020_CD.zip,GA,GA
131,GA_2012_SU.zip (6.2 MB),https://thearp.org/documents/5124/GA_2012_SU.zip,GA,GA
132,GA_2012to2014_SL.zip (653.3 KB),https://thearp.org/documents/5165/GA_2012to2014_SL.zip,GA,GA
133,GA_2014to2020_SU.zip (3.5 MB),https://thearp.org/documents/5125/GA_2014to2020_SU.zip,GA,GA
134,GA_2016to2020_SL.zip (5.6 MB),https://thearp.org/documents/5166/GA_2016to2020_SL.zip,GA,GA
135,GA_CD_enacted12302021.zip (1.7 MB),https://thearp.org/documents/664/GA_CD_enacted12302021.zip,GA,GA
136,GA_SD_enacted12302021.zip (3.3 MB),https://thearp.org/documents/670/GA_SD_enacted12302021.zip,GA,GA
137,GA_LD_enacted12302021.zip (6.0 MB),https://thearp.org/documents/667/GA_LD_enacted12302021.zip,GA,GA
138,GA_CD_Enacted12082023.zip (1.8 MB),https://thearp.org/documents/15112/GA_CD_Enacted12082023.zip,GA,GA
139,GA_SD_12_08_2023.zip (3.4 MB),https://thearp.org/documents/15120/GA_SD_12_08_2023.zip,GA,GA
140,GA_LD_Enacted12082023.zip (6.0 MB),https://thearp.org/documents/15117/GA_LD_Enacted12082023.zip,GA,GA
141,Hawaii_CD_1992_2000.zip (23.4 KB),https://thearp.org/documents/12855/Hawaii_CD_1992_2000.zip,HAWAII,HI
142,HI_CD_2002_2010.zip (82.2 KB),https://thearp.org/documents/11020/HI_CD_2002_2010.zip,HI,HI
143,hi_upper_2002to2010.zip (2.2 MB),https://thearp.org/documents/10608/hi_upper_2002to2010.zip,HI,HI
144,hi_lower_2002to2010.zip (2.4 MB),https://thearp.org/documents/10702/hi_lower_2002to2010.zip,HI,HI
145,HI_2012to2020_CD.zip (77.1 KB),https://thearp.org/documents/5039/HI_2012to2020_CD.zip,HI,HI
146,HI_2012to2020_SU.zip (794.8 KB),https://thearp.org/documents/5126/HI_2012to2020_SU.zip,HI,HI
147,HI_2012to2020_SL.zip (1.0 MB),https://thearp.org/documents/5167/HI_2012to2020_SL.zip,HI,HI
148,HI_CD_01282022_Approved.zip (91.9 KB),https://thearp.org/documents/673/HI_CD_01282022_Approved.zip,HI,HI
149,HI_SD_Final_Approved.zip (323.8 KB),https://thearp.org/documents/679/HI_SD_Final_Approved.zip,HI,HI
150,HI_LD_Final_Approved.zip (663.9 KB),https://thearp.org/documents/676/HI_LD_Final_Approved.zip,HI,HI
