"FIPS"	"NAME"	"ID"	"STATE"	"VERSION"	"START_DATE"	"END_DATE"	"CREATION_OR_CHANGE"	"CITATION"	"START_N"	"END_N"	"DATASET"
"17119"	"MADISON"	"ils_madison"	"IL"	"1"	14 09 1812 0:00:00	27 11 1814 0:00:00	"MADISON created by Illinois Territory from RANDOLPH and ST. CLAIR; MADISON included territory in present Illinois, Wisconsin, Michigan, Minnesota, and a small area of Indiana."	"(Ill. Terr. Recs., 26; Terr. Papers U.S., 17:643)"	18120914	18141127	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"5"	14 09 1812 0:00:00	10 12 1813 0:00:00	"RANDOLPH lost to creation of GALLATIN, JOHNSON, and MADISON; RANDOLPH eliminated from present Indiana."	"(Ill. Terr. Recs., 26; Terr. Papers U.S., 17:643)"	18120914	18131210	"IL_AtlasHCB"
"17087"	"JOHNSON"	"ils_johnson"	"IL"	"1"	14 09 1812 0:00:00	31 03 1816 0:00:00	"JOHNSON created by Illinois Territory from RANDOLPH; boundary with GALLATIN is estimated."	"(Ill. Terr. Recs., 26; Terr. Papers U.S., 17:643)"	18120914	18160331	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"1"	14 09 1812 0:00:00	10 12 1813 0:00:00	"GALLATIN created by Illinois Territory from RANDOLPH; boundary with JOHNSON is estimated."	"(Ill. Terr. Recs., 26; Terr. Papers U.S., 17:643)"	18120914	18131210	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"7"	14 09 1812 0:00:00	10 12 1813 0:00:00	"ST. CLAIR lost to creation of MADISON; ST. CLAIR eliminated from present Michigan, Minnesota, and Wisconsin."	"(Ill. Terr. Recs., 26; Terr. Papers U.S., 17:643)"	18120914	18131210	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"2"	11 12 1813 0:00:00	27 11 1814 0:00:00	"GALLATIN exchanged with RANDOLPH."	"(Ill. Terr. Laws, 120)"	18131211	18141127	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"6"	11 12 1813 0:00:00	31 03 1816 0:00:00	"RANDOLPH exchanged with GALLATIN and ST. CLAIR."	"(Ill. Terr. Laws, 120-121)"	18131211	18160331	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"8"	11 12 1813 0:00:00	31 05 1816 0:00:00	"ST. CLAIR exchanged with RANDOLPH."	"(Ill. Terr. Laws, 120-121)"	18131211	18160531	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"2"	28 11 1814 0:00:00	03 01 1817 0:00:00	"MADISON lost to creation of EDWARDS; MADISON eliminated from present Indiana."	"(Ill. Terr. Laws, 128-130)"	18141128	18170103	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"1"	28 11 1814 0:00:00	10 12 1816 0:00:00	"EDWARDS created by Illinois Territory from GALLATIN and MADISON; EDWARDS included parts of present Illinois, Wisconsin, Michigan, and a small area of Indiana."	"(Ill. Terr. Laws, 128-130)"	18141128	18161210	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"3"	28 11 1814 0:00:00	31 01 1816 0:00:00	"GALLATIN lost to creation of EDWARDS."	"(Ill. Terr. Laws, 128-130)"	18141128	18160131	"IL_AtlasHCB"
