Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 1998,75TH REPRESENTATIVE,1,4951,MARY K.,O'BRIEN,,GRUNDY,1947,DEMOCRATIC,DEM
GP 1998,75TH REPRESENTATIVE,1,4951,MARY K.,O'BRIEN,,WILL,873,DEMOCRATIC,DEM
GP 1998,28TH SENATE,1,4952,LAURA M.,MURPHY,,COOK,4772,DEMOCRATIC,DEM
GP 1998,76TH REPRESENTATIVE,1,4953,FRANK J.,MAUTINO,,BUREAU,1850,DEMOCRATIC,DEM
GP 1998,76TH REPRESENTATIVE,1,4953,FRANK J.,MAUTINO,,LaSALLE,5258,DEMOCRATIC,DEM
GP 1998,76TH REPRESENTATIVE,1,4953,FRANK J.,MAUTINO,,PUTNAM,1557,DEMOCRATIC,DEM
GP 1998,28TH SENATE,1,4954,LENORE GONZALES,BRAGAW,,COOK,1394,DEMOCRATIC,DEM
GP 1998,77TH REPRESENTATIVE,1,4955,"ANGELO ""SKIP""",SAVIANO,,COOK,4542,REPUBLICAN,REP
GP 1998,29TH SENATE,1,4956,KATHLEEN K.,PARKER,,COOK,13481,REPUBLICAN,REP
GP 1998,29TH SENATE,1,4956,KATHLEEN K.,PARKER,,LAKE,335,REPUBLICAN,REP
GP 1998,78TH REPRESENTATIVE,1,4957,"ROBERT A. ""BOB""",BIGGINS,,COOK,611,REPUBLICAN,REP
GP 1998,78TH REPRESENTATIVE,1,4957,"ROBERT A. ""BOB""",BIGGINS,,DuPAGE,7108,REPUBLICAN,REP
GP 1998,29TH SENATE,1,4958,NANCY,ALESSI,,COOK,9610,DEMOCRATIC,DEM
GP 1998,29TH SENATE,1,4958,NANCY,ALESSI,,LAKE,487,DEMOCRATIC,DEM
GP 1998,79TH REPRESENTATIVE,1,4959,JIM,GIGLIO,,COOK,3761,REPUBLICAN,REP
GP 1998,31ST SENATE,1,4960,ADELINE JAY,GEO-KARIS,,COOK,0,REPUBLICAN,REP
GP 1998,31ST SENATE,1,4960,ADELINE JAY,GEO-KARIS,,LAKE,18696,REPUBLICAN,REP
GP 1998,32ND SENATE,1,4961,DICK,KLEMM,,COOK,1102,REPUBLICAN,REP
GP 1998,32ND SENATE,1,4961,DICK,KLEMM,,McHENRY,20313,REPUBLICAN,REP
GP 1998,32ND SENATE,1,4962,EDWARD F.,MAGNUS,,COOK,219,REPUBLICAN,REP
GP 1998,32ND SENATE,1,4962,EDWARD F.,MAGNUS,,McHENRY,8026,REPUBLICAN,REP
GP 1998,34TH SENATE,1,4963,DAVE,SYVERSON,,BOONE,5493,REPUBLICAN,REP
GP 1998,34TH SENATE,1,4963,DAVE,SYVERSON,,DeKALB,643,REPUBLICAN,REP
GP 1998,34TH SENATE,1,4963,DAVE,SYVERSON,,WINNEBAGO,8645,REPUBLICAN,REP
GP 1998,35TH SENATE,1,4964,J. BRADLEY,BURZYNSKI,,OGLE,2529,REPUBLICAN,REP
GP 1998,35TH SENATE,1,4964,J. BRADLEY,BURZYNSKI,,DeKALB,4156,REPUBLICAN,REP
GP 1998,35TH SENATE,1,4964,J. BRADLEY,BURZYNSKI,,LEE,428,REPUBLICAN,REP
GP 1998,35TH SENATE,1,4964,J. BRADLEY,BURZYNSKI,,WINNEBAGO,7037,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,HENRY,2037,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,OGLE,2448,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,BUREAU,335,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,CARROLL,1778,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,JoDAVIESS,1633,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,LEE,3822,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,STEPHENSON,5531,REPUBLICAN,REP
GP 1998,37TH SENATE,1,4965,TODD,SIEBEN,,WHITESIDE,1612,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,BUREAU,713,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,KANKAKEE,1103,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,LaSALLE,5863,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,PUTNAM,292,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,GRUNDY,2503,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4966,ROBERT,STUDZINSKI,,WILL,1083,REPUBLICAN,REP
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,BUREAU,1644,DEMOCRATIC,DEM
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,KANKAKEE,557,DEMOCRATIC,DEM
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,LaSALLE,6025,DEMOCRATIC,DEM
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,PUTNAM,1342,DEMOCRATIC,DEM
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,GRUNDY,1732,DEMOCRATIC,DEM
GP 1998,38TH SENATE,1,4967,PATRICK D.,WELCH,,WILL,825,DEMOCRATIC,DEM
GP 1998,40TH SENATE,1,4968,FLORA,CIARLO,,COOK,8318,REPUBLICAN,REP
GP 1998,40TH SENATE,1,4968,FLORA,CIARLO,,WILL,1216,REPUBLICAN,REP
GP 1998,40TH SENATE,1,4969,DEBBIE DeFRANCESCO,HALVORSON,,COOK,9915,DEMOCRATIC,DEM
GP 1998,40TH SENATE,1,4969,DEBBIE DeFRANCESCO,HALVORSON,,WILL,1035,DEMOCRATIC,DEM
GP 1998,41ST SENATE,1,4970,KIRK W.,DILLARD,,COOK,979,REPUBLICAN,REP
GP 1998,41ST SENATE,1,4970,KIRK W.,DILLARD,,DuPAGE,13869,REPUBLICAN,REP
GP 1998,41ST SENATE,1,4970,KIRK W.,DILLARD,,WILL,2550,REPUBLICAN,REP
GP 1998,43RD SENATE,1,4971,ARLENE,ALBERT,,IROQUOIS,456,REPUBLICAN,REP
GP 1998,43RD SENATE,1,4971,ARLENE,ALBERT,,KANKAKEE,2699,REPUBLICAN,REP
GP 1998,43RD SENATE,1,4971,ARLENE,ALBERT,,WILL,4166,REPUBLICAN,REP
GP 1998,43RD SENATE,1,4972,"LAWRENCE M. ""LARRY""",WALSH,,IROQUOIS,111,DEMOCRATIC,DEM
GP 1998,43RD SENATE,1,4972,"LAWRENCE M. ""LARRY""",WALSH,,KANKAKEE,1476,DEMOCRATIC,DEM
GP 1998,43RD SENATE,1,4972,"LAWRENCE M. ""LARRY""",WALSH,,WILL,4761,DEMOCRATIC,DEM
GP 1998,79TH REPRESENTATIVE,1,4973,GENE WOJCIECHOWSKI,WOLFE,,COOK,1541,REPUBLICAN,REP
GP 1998,43RD SENATE,1,4974,MARGIE GAVIN,WOODS,,IROQUOIS,42,DEMOCRATIC,DEM
GP 1998,43RD SENATE,1,4974,MARGIE GAVIN,WOODS,,KANKAKEE,828,DEMOCRATIC,DEM
GP 1998,43RD SENATE,1,4974,MARGIE GAVIN,WOODS,,WILL,3538,DEMOCRATIC,DEM
GP 1998,79TH REPRESENTATIVE,1,4975,MICHAEL,GIGLIO,,COOK,5722,DEMOCRATIC,DEM
GP 1998,79TH REPRESENTATIVE,1,4976,LINDA L.,SLUBOWSKI,,COOK,1763,DEMOCRATIC,DEM
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,IROQUOIS,887,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,LaSALLE,537,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,LIVINGSTON,6812,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,FORD,903,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,MARSHALL,1128,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,WOODFORD,635,REPUBLICAN,REP
GP 1998,44TH SENATE,1,4977,JOHN W.,"MAITLAND, JR.",,McLEAN,11731,REPUBLICAN,REP
GP 1998,46TH SENATE,1,4978,GEORGE P.,SHADID,,PEORIA,4805,DEMOCRATIC,DEM
GP 1998,46TH SENATE,1,4978,GEORGE P.,SHADID,,KNOX,124,DEMOCRATIC,DEM
GP 1998,46TH SENATE,1,4978,GEORGE P.,SHADID,,FULTON,5689,DEMOCRATIC,DEM
GP 1998,46TH SENATE,1,4978,GEORGE P.,SHADID,,TAZEWELL,2586,DEMOCRATIC,DEM
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,HENRY,2497,REPUBLICAN,REP
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,PEORIA,6049,REPUBLICAN,REP
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,BUREAU,2530,REPUBLICAN,REP
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,KNOX,3806,REPUBLICAN,REP
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,STARK,744,REPUBLICAN,REP
GP 1998,47TH SENATE,1,4979,CARL E.,HAWKINSON,,WARREN,2151,REPUBLICAN,REP
GP 1998,60TH REPRESENTATIVE,1,4980,LAUREN BETH,GASH,,COOK,694,DEMOCRATIC,DEM
GP 1998,60TH REPRESENTATIVE,1,4980,LAUREN BETH,GASH,,LAKE,3684,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,MORGAN,797,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,CALHOUN,561,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,JERSEY,1656,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,CHRISTIAN,4860,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,MACOUPIN,6068,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,MADISON,853,DEMOCRATIC,DEM
